,NAME,AGE,RATING,WAGE,POTENTIAL,VALUE,TOTAL
11269,M. McKenzie,18,64,$1K,77,$812K,1418
11270,J. Colman,18,64,$2K,76,$840K,1549
11271,J. Colman,18,64,$2K,76,$840K,1549
11272,S. Tritz,30,64,$1K,64,$364K,1563
11273,J. Kiesewetter,24,64,$7K,67,$644K,1580
11274,S. Saucedo,20,64,$3K,74,$812K,1588
11275,R. Marchizza,19,64,$7K,78,$980K,1471
11276,E. Mabouka,29,64,$0,64,$0,1564
11277,E. Orrantía,26,64,$6K,65,$476K,1791
11278,E. Velasco,25,64,$1K,67,$532K,1482
11279,B. Bellot,26,64,$5K,64,$364K,1135
11280,G. Zampano,23,64,$2K,70,$588K,1698
11281,Y. Díaz,25,64,$1K,64,$560K,1592
11282,L. Verstraete,18,64,$4K,78,$1M,1769
11283,M. Konyk,19,64,$1K,74,$700K,1416
11284,T. Berni,34,64,$12K,64,$202K,932
11285,D. Björnquist,28,64,$2K,64,$392K,1615
11286,C. Reilly,23,64,$3K,68,$644K,1835
11287,B. Rowe,28,64,$2K,65,$420K,1103
11288,O. Schnitzler,21,64,$1K,72,$560K,1014
11289,P. Da Silva,22,64,$4K,70,$588K,1665
11290,Claudio Mouria,25,64,$7K,64,$560K,1697
11291,G. Kastanos,19,64,$14K,77,$952K,1571
11292,A. Mayorga,20,64,$11K,76,$784K,1707
11293,L. Cháves,21,64,$2K,72,$560K,1088
11294,R. Nelson,17,64,$15K,85,$1.1M,1610
11295,R. Cepeda,23,64,$1K,71,$700K,1672
11296,E. Zaldívar,20,64,$5K,74,$812K,1683
11297,M. Lund Nielsen,29,64,$2K,64,$476K,1788
11298,F. Boló,23,64,$1K,70,$700K,1631
11299,S. Londoño,22,64,$1K,74,$616K,1061
11300,D. Mikanović,23,64,$4K,71,$588K,1686
11301,S. Skytte,20,64,$3K,76,$896K,1691
11302,P. Pellegri,16,64,$4K,82,$1M,1382
11303,E. Grendel,28,64,$2K,64,$420K,1810
11304,B. Wilson,34,64,$2K,64,$157K,1766
11305,F. Milo,25,64,$3K,67,$532K,1569
11306,C. Kammlott,27,64,$1K,64,$532K,1554
11307,D. Mendoza,24,64,$4K,69,$700K,1553
11308,R. Hayasaka,31,64,$2K,64,$448K,1610
11309,I. Rivero,25,64,$4K,67,$532K,1691
11310,Y. Tanaka,31,64,$2K,64,$448K,1672
11311,Víctor Díaz,26,64,$3K,65,$476K,1578
11312,F. Bechtholdt,23,64,$1K,67,$532K,1603
11313,M. Schulze Niehues,28,64,$1K,64,$364K,1064
11314,L. Rose,20,64,$1K,76,$812K,1715
11315,A. Fukuta,25,64,$2K,65,$588K,1720
11316,A. Carleton,17,64,$2K,80,$1M,1701
11317,P. Kristensen,30,64,$5K,64,$364K,1795
11318,Bastos,25,64,$3K,67,$532K,1633
11319,D. Djulbic,34,64,$3K,64,$157K,1305
11320,G. Baran,34,64,$2K,64,$157K,1538
11321,L. Mancinelli,27,64,$4K,64,$532K,1874
11322,L. Mancinelli,27,64,$4K,64,$532K,1874
11323,B. Thompson,21,64,$9K,75,$868K,1735
11324,N. Fofana,27,64,$2K,66,$504K,1434
11325,W. Hesl,31,64,$1K,64,$302K,1034
11326,P. Mráz,30,64,$2K,64,$364K,1742
11327,J. Mendy,27,64,$5K,64,$532K,1566
11328,J. North,35,64,$2K,64,$123K,1614
11329,J. Bowery,25,64,$7K,66,$616K,1545
11330,T. Eriksson,32,64,$2K,64,$392K,1764
11331,J. Helmer,19,64,$2K,76,$868K,1605
11332,Ricardo Moura,28,64,$2K,64,$364K,899
11333,J. Bailey,28,64,$4K,64,$504K,1724
11334,C. Stewart,26,64,$6K,64,$532K,1626
11335,H. Adelakun,21,64,$3K,76,$896K,1560
11336,Kiki,22,64,$3K,73,$672K,1739
11337,B. Tekpetey,19,64,$6K,79,$1.1M,1606
11338,S. Taylor,36,64,$10K,64,$67K,1059
11339,G. Woods,27,64,$2K,67,$420K,1132
11340,D. Parrett,25,64,$3K,66,$616K,1751
11341,A. Calello,30,64,$5K,64,$476K,1664
11342,Yeray,29,64,$3K,64,$392K,1682
11343,O. Albornoz,21,64,$1K,75,$756K,1536
11344,Julen López,21,64,$4K,74,$728K,1365
11345,Y. Thermann,23,64,$1K,70,$588K,1805
11346,A. Wenger,26,64,$3K,64,$532K,1856
11347,Joaninho Chagas,29,64,$6K,64,$504K,1670
11348,M. Ellingsen,22,64,$2K,72,$728K,1686
11349,Éder Lima,31,64,$2K,64,$336K,1722
11350,M. Pawełek,36,64,$2K,64,$67K,1055
11351,R. Marquez,25,64,$3K,65,$504K,1417
11352,A. Jaakkola,30,64,$8K,64,$325K,1155
11353,T. Chong,17,64,$19K,84,$1M,1667
11354,S. Strømnes,30,64,$2K,64,$364K,1604
11355,O. Pehrsson,29,64,$1K,64,$392K,1377
11356,J. Bond,24,64,$7K,69,$476K,1142
11357,V. Ciupercă,25,64,$10K,69,$672K,1721
11358,J. Leudo,23,64,$1K,70,$588K,1591
11359,Mairdel Sampaio,29,64,$6K,64,$504K,1583
11360,H. Akpan,25,64,$4K,66,$616K,1811
11361,P. Wiegers,27,64,$4K,65,$392K,1064
11362,Túlio Changas,25,64,$5K,64,$448K,1687
11363,P. Breitkreuz,25,64,$1K,66,$616K,1426
11364,Ricardo Fernandes,22,64,$2K,67,$448K,866
11365,R. Jenkins,26,64,$3K,65,$588K,1708
11366,M. Levashov,25,64,$6K,68,$476K,863
11367,J. Mårtensson,28,64,$2K,64,$504K,1753
11368,K. Ntlhe,23,64,$2K,69,$560K,1556
11369,N. DeLeon,26,64,$3K,64,$420K,1814
11370,J. Escobar,29,64,$1K,64,$336K,1053
11371,W. Mosquera,32,64,$1K,64,$291K,1047
11372,G. Felicioli,19,64,$11K,76,$756K,1714
11373,G. Felicioli,19,64,$11K,76,$756K,1714
11374,L. Reis,17,64,$2K,80,$980K,1751
11375,P. Komolov,28,64,$8K,64,$504K,1810
11376,L. Gil,23,64,$3K,69,$672K,1687
11377,B. Kluft,27,64,$1K,64,$532K,1614
11378,M. Thwaite,34,64,$3K,64,$157K,1534
11379,L. Angulo,21,64,$1K,71,$700K,1713
11380,Edu Cortina,20,64,$3K,78,$1.1M,1629
11381,D. Hofbauer,26,64,$6K,65,$588K,1788
11382,N. Dams,27,64,$1K,65,$476K,1558
11383,A. Affane,23,64,$2K,70,$672K,1838
11384,J. Van Damme,25,64,$4K,69,$560K,1591
11385,A. Messidoro,20,64,$6K,77,$980K,1655
11386,Fabio González,20,64,$5K,74,$812K,1588
11387,W. Domoraud,28,64,$4K,64,$504K,1714
11388,M. Costly,21,64,$1K,72,$644K,1634
11389,L. Zwoliński,24,64,$2K,68,$672K,1625
11390,L. Henderson,21,64,$1K,73,$784K,1737
11391,R. Allen,27,64,$3K,64,$420K,1645
11392,R. Martínez,26,64,$3K,68,$448K,922
11393,B. Atik,22,64,$9K,72,$756K,1585
11394,M. Perg,25,64,$5K,69,$560K,1364
11395,David Sualehe,20,64,$3K,73,$672K,1670
11396,G. Martínez,28,64,$2K,64,$532K,1574
11397,F. Hormazábal,21,64,$2K,75,$868K,1607
11398,M. Benítez,21,64,$13K,76,$896K,1680
11399,J. Sandoval,30,64,$4K,64,$364K,1640
11400,L. Legge,32,64,$6K,64,$291K,1373
11401,D. Perquis,33,64,$3K,64,$202K,1604
11402,S. Piesinger,25,64,$5K,65,$504K,1585
11403,F. Woodman,20,64,$10K,78,$924K,1075
11404,T. Amang,19,64,$2K,80,$1.1M,1706
11405,F. Ávila,23,64,$1K,70,$700K,1621
11406,H. Delbridge,25,64,$4K,68,$560K,1406
11407,Dani Rodríguez,29,64,$3K,64,$476K,1741
11408,W. Evseev,25,64,$1K,66,$616K,1709
11409,L. Argudo,21,64,$2K,71,$728K,1688
11410,A. Smith,24,64,$2K,66,$448K,949
11411,P. Ceccaroni,21,64,$1K,77,$868K,1465
11412,O. Aydoğan,20,64,$11K,75,$868K,1617
11413,Jesús Alfaro,26,64,$4K,65,$588K,1495
11414,M. Tall,21,64,$2K,71,$728K,1616
11415,N. Messiniti,21,64,$6K,73,$784K,1505
11416,J. Levi,21,64,$2K,72,$756K,1577
11417,E. Schreiner,28,64,$5K,64,$392K,1764
11418,S. Tekerci,23,64,$1K,68,$672K,1765
11419,A. Monsecour,21,64,$3K,71,$616K,1535
11420,D. Niepsuj,21,64,$2K,71,$616K,1677
11421,R. Guerra,20,64,$7K,73,$784K,1632
11422,O. Stijepović,17,64,$6K,78,$980K,1653
11423,L. Daniels,29,64,$10K,64,$336K,1116
11424,L. Daniels,29,64,$10K,64,$336K,1116
11425,M. Janzer,25,64,$4K,65,$588K,1682
11426,M. Uhre,22,64,$5K,72,$756K,1582
11427,N. Jackers,19,64,$2K,75,$644K,1053
11428,A. Stølås,28,64,$2K,64,$392K,1868
11429,F. Børsting,22,64,$4K,72,$756K,1620
11430,S. Mallan,21,64,$3K,75,$868K,1771
11431,Akieme,19,64,$2K,73,$644K,1600
11432,N. Kijewski,21,64,$5K,73,$672K,1620
11433,R. Boujedra,23,64,$2K,69,$672K,1656
11434,C. Ronan,19,64,$9K,79,$1.1M,1729
11435,B. Passi,19,64,$4K,75,$728K,1561
11436,E. Owusu,19,64,$8K,78,$980K,1714
11437,R. Floriano,30,64,$2K,64,$476K,1612
11438,Pau Torres,20,64,$6K,74,$728K,1368
11439,R. Bowman,25,64,$3K,65,$616K,1604
11440,M. Al Qarni,27,64,$10K,64,$420K,1652
11441,Alex Vallejo,25,64,$3K,68,$560K,1559
11442,M. Durmuş,20,64,$5K,76,$896K,1732
11443,Jang Hyun Soo,24,64,$3K,67,$644K,1526
11444,D. Bogaev,23,64,$14K,68,$672K,1693
11445,Chuca,20,64,$7K,74,$812K,1605
11446,A. Lamas,33,64,$3K,64,$202K,1386
11447,K. Dobras,24,64,$5K,67,$644K,1654
11448,Kim Dae Won,20,64,$2K,76,$896K,1554
11449,I. Faraj,18,64,$8K,80,$1M,1535
11450,D. Orlishausen,34,64,$1K,64,$202K,995
11451,H. Mancilla,25,64,$1K,69,$560K,1551
11452,F. Feuillassier,19,64,$23K,79,$1.1M,1548
11453,D. Blacha,26,64,$1K,65,$616K,1734
11454,J. Allansson,24,64,$4K,69,$672K,1717
11455,N. Tripichio,21,64,$4K,74,$700K,1627
11456,A. Dozzell,18,64,$4K,83,$1M,1698
11457,D. Dinga,19,64,$5K,78,$980K,1428
11458,Kim Dong Suk,30,64,$2K,64,$476K,1766
11459,G. Kongshavn,26,64,$1K,65,$420K,907
11460,M. Nielsen,26,64,$4K,66,$504K,1623
11461,T. Kadewere,21,64,$2K,72,$756K,1672
11462,K. Morisaki,36,64,$3K,64,$67K,1525
11463,Nanú,23,64,$3K,70,$588K,1679
11464,B. Lepistu,24,64,$1K,69,$672K,1699
11465,O. Atasayar,22,64,$5K,73,$672K,1528
11466,C. Tilt,25,64,$3K,69,$560K,1327
11467,R. Jackson,26,64,$5K,65,$476K,1658
11468,C. Rojas,31,64,$2K,64,$336K,1550
11469,Douglas Tanque,23,64,$2K,68,$672K,1496
11470,K. Davis,19,64,$7K,77,$952K,1606
11471,V. Fedotov,25,64,$7K,65,$588K,1580
11472,A. Pasche,26,64,$4K,65,$588K,1682
11473,Y. Nakazawa,39,64,$2K,64,$34K,1395
11474,T. Wada,26,64,$4K,65,$476K,1602
11475,T. Wada,26,64,$4K,65,$476K,1602
11476,A. Beghetto,22,64,$8K,70,$700K,1669
11477,C. Burke,25,64,$3K,65,$616K,1475
11478,C. Quiring,26,64,$1K,64,$532K,1585
11479,D. Léon,24,64,$2K,66,$448K,1133
11480,T. Moniwa,35,64,$2K,64,$123K,1577
11481,G. Rivas,21,64,$1K,72,$728K,1686
11482,C. Davies,31,64,$2K,64,$448K,1586
11483,E. Rexhbecaj,19,64,$9K,76,$868K,1630
11484,D. Veselinović,29,64,$3K,64,$504K,1482
11485,Kim Kyung Jung,26,64,$3K,64,$532K,1473
11486,K. Valenzuela,23,64,$2K,68,$560K,1665
11487,H. Dijkhuizen,25,64,$3K,66,$504K,1642
11488,D. Wheeler,26,64,$9K,64,$532K,1683
11489,B. Evans,32,64,$3K,64,$291K,1800
11490,J. O'Sullivan,23,64,$4K,69,$672K,1684
11491,N. Kalinskiy,23,64,$6K,70,$588K,1681
11492,M. Aceval,34,64,$1K,64,$146K,1675
11493,L. Burnet,26,64,$3K,65,$476K,1673
11494,E. Palomeque,24,64,$1K,71,$616K,1311
11495,Y. Güveli,19,64,$9K,79,$980K,1379
11496,K. Pallesen,27,64,$5K,64,$420K,1616
11497,O. Álvarez,22,64,$1K,72,$756K,1522
11498,F. Dagerstål,20,64,$2K,74,$728K,1635
11499,B. Straetman,19,64,$3K,74,$784K,1570
11500,A. Barylla,20,64,$1K,73,$672K,1588
11501,F. Wadja,22,64,$2K,70,$588K,1679
11502,N. Smith,30,64,$3K,64,$364K,1681
11503,D. Gómez,25,64,$1K,64,$560K,1538
11504,M. Firenze,24,64,$4K,70,$700K,1492
11505,D. Milinković,23,64,$9K,70,$700K,1488
11506,F. Ayé,20,64,$3K,75,$868K,1509
11507,J. Grant,29,64,$4K,64,$504K,1619
11508,M. Yıldırım,30,64,$4K,64,$364K,1680
11509,R. Taylor,22,64,$3K,73,$784K,1724
11510,B. Garuccio,22,64,$2K,71,$588K,1740
11511,M. Ingebrigtsen,20,64,$2K,73,$784K,1730
11512,M. Fofana,19,64,$2K,79,$980K,1436
11513,A. Barakat,25,64,$10K,67,$616K,1718
11514,J. Maurer,28,64,$2K,64,$364K,1045
11515,A. Morgan,26,64,$3K,64,$420K,1678
11516,D. Riolfo,27,64,$5K,64,$532K,1609
11517,M. Al Thmali,25,64,$10K,65,$588K,1728
11518,M. Tauber,32,64,$4K,64,$291K,1715
11519,A. Georgen,18,64,$9K,82,$924K,1667
11520,M. Ngombo,22,64,$4K,71,$728K,1446
11521,Toni Martínez,20,64,$21K,79,$1.1M,1503
11522,Y. Toyokawa,22,64,$4K,70,$700K,1482
11523,L. Callegari,19,64,$9K,79,$980K,1680
11524,J. Lewis,20,64,$3K,78,$1.1M,1578
11525,J. McCrary,23,64,$2K,70,$588K,1630
11526,J. McCrary,23,64,$2K,70,$588K,1630
11527,J. Chancellor,25,64,$6K,68,$560K,1302
11528,R. Scheu,22,64,$1K,70,$700K,1653
11529,Z. Arsenić,23,64,$2K,70,$588K,1535
11530,G. Bigirimana,23,64,$2K,71,$700K,1778
11531,P. Jerez,32,64,$2K,64,$280K,1600
11532,R. González,22,64,$5K,74,$700K,1426
11533,G. Cros,22,64,$1K,69,$560K,1581
11534,M. Vitale,19,64,$14K,76,$868K,1701
11535,V. Thill,17,64,$3K,80,$1M,1521
11536,M. Al Anazi,27,64,$3K,64,$336K,961
11537,M. Seegert,23,64,$2K,71,$616K,1474
11538,J. Westerberg,31,64,$2K,64,$336K,1731
11539,I. Akhmetov,19,64,$7K,81,$1.1M,1599
11540,D. Novoa,28,64,$1K,66,$420K,1115
11541,J. Asoro,18,64,$2K,80,$1.1M,1559
11542,Paulao,27,64,$4K,64,$420K,1347
11543,J. Hamilton,23,64,$2K,72,$560K,1081
11544,T. Alfaro,24,64,$2K,69,$560K,1396
11545,C. Togashi,23,64,$3K,68,$672K,1480
11546,F. Müller,19,64,$3K,81,$896K,1014
11547,M. Wagner,30,64,$1K,64,$476K,1529
11548,L. Sosa,23,64,$4K,70,$588K,1469
11549,M. Svanberg,18,64,$1K,79,$1M,1735
11550,Charles de Breito,25,64,$4K,64,$448K,1414
11551,José Perales,24,64,$2K,70,$504K,1061
11552,S. Sarr,21,64,$2K,71,$700K,1714
11553,A. Batisse,22,64,$2K,71,$616K,1560
11554,D. Gómez,29,64,$1K,64,$392K,1634
11555,S. Ichazo,25,64,$9K,64,$364K,1107
11556,E. Pezzi,27,64,$1K,64,$420K,1572
11557,T. Tchani,28,64,$3K,64,$420K,1728
11558,F. Doré,28,64,$8K,64,$532K,1535
11559,D. Daniels,23,64,$4K,69,$560K,1381
11560,A. Ariano,26,64,$1K,67,$532K,1344
11561,D. Lovren,18,64,$5K,81,$1M,1504
11562,S. Jakubiak,24,64,$3K,68,$560K,1719
11563,M. Carretta,26,64,$1K,64,$532K,1575
11564,M. Piter-Bučko,31,64,$2K,64,$336K,1355
11565,E. Baburin,23,64,$10K,71,$532K,1056
11566,K. Coulibaly,24,64,$3K,68,$672K,1671
11567,M. El-Shenawy,28,64,$0,67,$0,1135
11568,S. Gannon,25,64,$1K,65,$476K,1726
11569,Kiko,20,64,$2K,74,$728K,1688
11570,J. Müller,27,64,$1K,64,$532K,1666
11571,H. Gómez,25,64,$1K,67,$532K,1657
11572,S. Al Mutairi,27,64,$4K,64,$420K,1364
11573,S. Binakaj,28,64,$1K,64,$504K,1739
11574,C. Robertson,23,64,$3K,68,$560K,1552
11575,S. Leyton,24,64,$1K,69,$672K,1778
11576,J. Manns,21,64,$2K,66,$532K,1610
11577,J. Manns,21,64,$2K,66,$532K,1610
11578,M. Pinato,22,64,$2K,72,$644K,1759
11579,Landeta,21,64,$4K,74,$644K,970
11580,C. Garcés,27,64,$0,64,$0,1431
11581,L. Königshofer,28,64,$1K,64,$364K,1070
11582,E. Shomurodov,22,64,$10K,74,$812K,1636
11583,D. Vavro,21,64,$5K,76,$812K,1460
11584,Jaime Sierra,19,64,$4K,77,$924K,1543
11585,D. Powell,26,64,$3K,64,$532K,1553
11586,A. Signorini,27,64,$1K,64,$420K,1547
11587,J. Vidović,28,64,$1K,65,$448K,1266
11588,F. Quintana,21,64,$3K,75,$868K,1543
11589,S. Furtado,22,64,$2K,70,$588K,1634
11590,G. Pinto,25,64,$2K,67,$532K,1696
11591,S. Maierhofer,34,64,$8K,64,$269K,1532
11592,S. Petersen,31,64,$4K,64,$448K,1530
11593,M. Lorentzson,32,64,$2K,64,$280K,1685
11594,B. McNamee,25,64,$1K,67,$644K,1665
11595,N. Mbemba,22,64,$3K,70,$672K,1737
11596,J. Aspropotamitis,21,64,$2K,72,$644K,1347
11597,M. Ristić,21,64,$1K,75,$756K,1675
11598,N. Tyson,35,64,$5K,64,$224K,1682
11599,Y. Tasaka,31,64,$3K,64,$336K,1836
11600,S. Al Qumayzi,25,64,$9K,64,$448K,1662
11601,C. Agnelli,31,64,$2K,64,$420K,1793
11602,F. Porath,20,64,$8K,73,$784K,1643
11603,Adão Renteira,25,64,$5K,64,$560K,1493
11604,Lee Sang Heon,19,64,$2K,77,$952K,1626
11605,I. Sangaré,23,64,$3K,68,$672K,1524
11606,M. Okugawa,21,64,$6K,72,$756K,1520
11607,T. Obadeyi,27,64,$2K,64,$532K,1636
11608,M. Connolly,25,64,$3K,69,$560K,1389
11609,A. Guira,29,64,$5K,64,$476K,1765
11610,R. Brindley,24,64,$4K,66,$504K,1651
11611,G. Donyoh,22,64,$5K,72,$756K,1575
11612,Y. Segawa,23,64,$4K,69,$672K,1612
11613,T. Carrique,18,64,$6K,78,$924K,1622
11614,K. Pearce,27,64,$6K,65,$476K,1468
11615,A. Noppert,23,64,$1K,69,$476K,1158
11616,M. De Iriondo,24,64,$4K,68,$560K,1740
11617,L. Ralte,24,64,$0,67,$0,1589
11618,M. Blair,28,64,$4K,64,$504K,1607
11619,G. Puel,25,64,$2K,65,$476K,1615
11620,K. Pilarz,36,64,$1K,64,$67K,1097
11621,C. Schoissengeyr,22,64,$5K,68,$560K,1290
11622,G. Francomb,25,64,$3K,65,$588K,1734
11623,M. Born,23,64,$2K,70,$700K,1580
11624,Pol Valentín,20,64,$3K,78,$1M,1633
11625,C. Baker,34,64,$6K,64,$258K,1735
11626,E. Johansen,24,64,$1K,69,$476K,1038
11627,F. Kippe,39,64,$1K,64,$34K,1457
11628,F. Kippe,39,64,$1K,64,$34K,1457
11629,T. Anderson,23,64,$12K,69,$560K,1347
11630,F. Moufi,21,64,$2K,72,$644K,1637
11631,S. Aygüneş,26,64,$3K,65,$616K,1563
11632,R. Williams,18,64,$14K,80,$952K,1480
11633,B. Hušidić,30,64,$3K,64,$476K,1753
11634,W. Abdullah,31,64,$9K,64,$302K,1050
11635,H. Bunn,24,64,$3K,67,$644K,1711
11636,Luis Fernández,23,64,$7K,71,$728K,1602
11637,C. Sammon,30,64,$3K,64,$476K,1707
11638,C. Carp,23,64,$7K,71,$616K,1553
11639,J. Kennedy,30,64,$5K,64,$476K,1723
11640,D. Sorgić,27,64,$6K,64,$532K,1603
11641,O. Fane,23,64,$2K,70,$588K,1673
11642,M. Ehmer,25,64,$3K,65,$504K,1674
11643,F. Rawson,20,64,$4K,70,$588K,1381
11644,M. Ørnskov,31,64,$4K,64,$420K,1791
11645,M. Pinto,23,64,$3K,71,$588K,1649
11646,O. De Wolf,20,64,$3K,75,$672K,922
11647,H. Alpsoy,20,64,$4K,77,$868K,1617
11648,Viti,19,64,$2K,78,$1.1M,1576
11649,K. Junker,23,64,$5K,70,$700K,1513
11650,A. Deiola,21,64,$11K,73,$784K,1708
11651,D. Jones,30,64,$6K,64,$364K,1769
11652,Adrián Rocheira,33,64,$4K,64,$202K,1486
11653,R. Kolo-Muani,18,64,$5K,76,$840K,1504
11654,Gabri Salazar,21,64,$6K,74,$840K,1501
11655,A. Marciniak,28,64,$2K,64,$392K,1679
11656,N. Cameron,25,64,$3K,67,$532K,1415
11657,José Artiles,24,64,$6K,70,$700K,1528
11658,R. Edwards,23,64,$3K,68,$560K,1500
11659,N. Varela,26,64,$3K,64,$532K,1593
11660,J. Lara,23,64,$3K,70,$700K,1564
11661,V. Jalasto,31,64,$1K,64,$336K,1620
11662,D. Skopintsev,20,64,$8K,76,$896K,1691
11663,E. Doyle,29,64,$6K,64,$504K,1642
11664,D. Konstantopoulos,38,64,$3K,64,$34K,965
11665,L. Quezada,21,64,$27K,74,$812K,1650
11666,N. Abdou,32,64,$11K,64,$392K,1794
11667,Tarsi,22,64,$6K,73,$672K,1644
11668,E. Ramírez,20,64,$4K,76,$924K,1660
11669,A. Moreno,21,64,$1K,72,$644K,1623
11670,Vagnão Junior,25,64,$5K,64,$560K,1712
11671,O. NDicka,17,64,$1K,80,$896K,1596
11672,M. Ambrosiewicz,19,64,$1K,73,$644K,1701
11673,T. Nørgaard,30,64,$3K,64,$325K,1045
11674,A. Al Shamekh,24,64,$5K,69,$560K,1583
11675,M. Udol,21,64,$3K,73,$672K,1642
11676,T. Morita,26,64,$2K,66,$420K,901
11677,J. Welzmüller,27,64,$1K,64,$420K,1393
11678,Quique Fornos,20,64,$5K,75,$756K,1410
11679,Quique Fornos,20,64,$5K,75,$756K,1410
11680,T. Duffner,33,64,$1K,64,$258K,1078
11681,A. Katranis,19,64,$5K,74,$672K,1671
11682,Alex Robles,18,64,$3K,80,$924K,1637
11683,Z. Pliev,25,64,$9K,67,$532K,1506
11684,W. Suwayyid,29,64,$8K,64,$392K,1756
11685,B. Renneke,24,64,$1K,67,$532K,1810
11686,M. López,21,64,$1K,76,$812K,1386
11687,J. Clarke-Salter,19,64,$2K,79,$980K,1429
11688,I. Marconi,27,64,$1K,65,$476K,1378
11689,T. Broadbent,25,64,$3K,64,$448K,1592
11690,L. Martínez,30,64,$3K,64,$476K,1756
11691,A. Eastham,26,64,$3K,67,$532K,1376
11692,B. Vécsei,23,64,$13K,69,$672K,1677
11693,C. Nwakali,20,64,$2K,77,$952K,1808
11694,D. Gray,29,64,$3K,64,$392K,1674
11695,J. Phojo,24,64,$2K,65,$504K,1598
11696,Albisua,24,64,$2K,71,$616K,1588
11697,L. Milts,19,64,$2K,71,$700K,1577
11698,K. Pannewitz,25,64,$1K,69,$560K,1679
11699,F. Fydriszewski,24,64,$5K,68,$672K,1484
11700,J. Untersee,23,64,$20K,70,$588K,1570
11701,R. Almeida-Santos,22,64,$4K,72,$644K,1442
11702,F. Hurtado,34,64,$1K,64,$202K,1049
11703,M. Mbaye,21,64,$4K,72,$728K,1708
11704,T. Eaves,25,64,$4K,65,$616K,1490
11705,D. Agazzi,24,64,$1K,69,$672K,1670
11706,Iuliano Alfaro,29,64,$5K,64,$504K,1639
11707,A. Gomes,16,64,$10K,87,$1.1M,1626
11708,R. Dow,26,64,$3K,65,$588K,1662
11709,Z. Alomerović,26,64,$2K,67,$448K,1025
11710,Gustavo Hebling,21,64,$2K,73,$784K,1740
11711,J. Lewis,19,64,$5K,81,$980K,1625
11712,G. Aguirre,21,64,$5K,72,$644K,1580
11713,Moha Ramos,17,64,$11K,79,$812K,905
11714,D. Olsen,32,64,$4K,64,$392K,1761
11715,Raul Asencio,19,64,$6K,77,$952K,1495
11716,A. van Peppen,32,64,$3K,64,$280K,1771
11717,R. Quiñonez,25,64,$0,67,$0,1099
11718,B. Jamieson IV,20,64,$3K,74,$840K,1622
11719,D. Payne,21,64,$3K,71,$616K,1559
11720,M. Quiroga,31,64,$4K,64,$448K,1358
11721,T. Chahed,21,64,$1K,72,$756K,1546
11722,G. Moss,34,64,$1K,64,$202K,1054
11723,B. Grant,27,64,$3K,64,$532K,1760
11724,D. Khomich,32,64,$5K,64,$291K,1035
11725,C. Wilkinson,22,64,$3K,67,$644K,1580
11726,D. Chica,36,64,$1K,64,$67K,1701
11727,G. Montoya,34,64,$3K,64,$202K,1081
11728,K. Bare,19,64,$8K,77,$952K,1647
11729,Sarsanedas,20,64,$2K,78,$1M,1656
11730,Sarsanedas,20,64,$2K,78,$1M,1656
11731,M. Kavdanski,30,64,$2K,64,$364K,1315
11732,R. Finn,29,64,$1K,64,$476K,1766
11733,N. Çiftçi,25,64,$16K,64,$560K,1664
11734,W. Harding,20,64,$6K,77,$868K,1455
11735,R. Yamanaka,24,64,$3K,69,$560K,1633
11736,C. Traoré,22,64,$6K,73,$672K,1560
11737,E. Bajrami,29,64,$2K,64,$504K,1619
11738,S. Zwierschitz,26,64,$3K,65,$476K,1633
11739,J. Lloreda,22,64,$1K,72,$756K,1519
11740,C. Gribbin,18,64,$17K,82,$1M,1656
11741,B. Bye,27,64,$2K,64,$532K,1441
11742,F. Schiller,27,64,$1K,65,$476K,1309
11743,F. Herzenbruch,24,64,$1K,67,$532K,1473
11744,D. Myrestam,30,64,$2K,64,$364K,1707
11745,M. Dumbuya,29,64,$3K,64,$392K,1707
11746,A. Stewart,24,64,$4K,67,$532K,1438
11747,J. Quiroga,35,64,$3K,64,$112K,1739
11748,S. Tronstad,21,64,$1K,69,$672K,1791
11749,D. O'Dea,30,64,$3K,64,$364K,1383
11750,T. Mahrer,27,64,$7K,64,$420K,1327
11751,R. Descamps,21,64,$10K,72,$560K,847
11752,R. Allsop,25,64,$12K,68,$476K,1094
11753,B. Murphy,34,64,$7K,64,$202K,1004
11754,K. Mensah,26,64,$7K,65,$616K,1700
11755,S. Bösel,22,64,$1K,70,$672K,1710
11756,J. Adebanjo,23,64,$2K,67,$532K,1669
11757,A. Skvortsov,25,64,$7K,65,$588K,1573
11758,M. Rømer,25,64,$5K,67,$616K,1719
11759,D. Albadoro,28,64,$2K,64,$532K,1590
11760,Juli Morrinhos,29,64,$6K,64,$504K,1558
11761,A. Salugin,28,64,$8K,64,$532K,1574
11762,P. Bürger,30,64,$8K,64,$476K,1687
11763,F. Tchenkoua,24,64,$2K,67,$644K,1652
11764,Moha,22,64,$3K,73,$784K,1594
11765,R. Magyar,26,64,$4K,65,$504K,1512
11766,M. Thurnwald,18,64,$3K,74,$644K,1725
11767,A. Melgalvis,27,64,$2K,64,$532K,1820
11768,F. Maracchi,29,64,$2K,64,$504K,1631
11769,E. Mašović,18,64,$3K,77,$812K,1397
11770,S. Velázquez,26,64,$3K,65,$476K,1671
11771,A. Busin,21,64,$2K,72,$756K,1547
11772,J. Báez,22,64,$16K,74,$812K,1525
11773,E. Velikonja,28,64,$4K,64,$532K,1634
11774,A. Höller,28,64,$7K,64,$392K,1633
