,Balance
5797,83
5798,67
5799,75
5800,29
5801,60
5802,51
5803,71
5804,69
5805,80
5806,66
5807,74
5808,60
5809,53
5810,77
5811,36
5812,57
5813,70
5814,70
5815,73
5816,57
5817,74
5818,65
5819,84
5820,40
5821,70
5822,62
5823,50
5824,58
5825,78
5826,59
5827,66
5828,61
5829,49
5830,70
5831,67
5832,79
5833,39
5834,67
5835,52
5836,67
5837,92
5838,81
5839,73
5840,65
5841,48
5842,42
5843,30
5844,68
5845,56
5846,70
5847,68
5848,82
5849,68
5850,74
5851,67
5852,71
5853,57
5854,91
5855,69
5856,63
5857,65
5858,26
5859,82
5860,62
5861,50
5862,60
5863,49
5864,66
5865,66
5866,45
5867,69
5868,56
5869,83
5870,77
5871,82
5872,75
5873,52
5874,48
5875,64
5876,32
5877,57
5878,63
5879,47
5880,62
5881,92
5882,34
5883,58
5884,63
5885,58
5886,74
5887,58
5888,76
5889,67
5890,64
5891,76
5892,83
5893,61
5894,72
5895,64
5896,60
5897,67
5898,73
5899,58
5900,64
5901,79
5902,59
5903,67
5904,73
5905,68
5906,60
5907,35
5908,62
5909,67
5910,86
5911,48
5912,43
5913,69
5914,60
5915,80
5916,80
5917,48
5918,64
5919,70
5920,74
5921,56
5922,82
5923,56
5924,75
5925,80
5926,55
5927,19
5928,54
5929,56
5930,68
5931,77
5932,75
5933,40
5934,68
5935,88
5936,73
5937,40
5938,75
5939,57
5940,86
5941,69
5942,51
5943,62
5944,63
5945,80
5946,73
5947,63
5948,62
5949,64
5950,71
5951,58
5952,67
5953,83
5954,48
5955,67
5956,77
5957,60
5958,79
5959,62
5960,53
5961,80
5962,77
5963,69
5964,78
5965,55
5966,54
5967,54
5968,73
5969,84
5970,68
5971,68
5972,61
5973,42
5974,70
5975,73
5976,60
5977,94
5978,65
5979,53
5980,68
5981,32
5982,65
5983,63
5984,61
5985,76
5986,48
5987,66
5988,71
5989,42
5990,63
5991,84
5992,53
5993,57
5994,71
5995,55
5996,67
5997,69
5998,62
5999,56
6000,72
6001,78
6002,33
6003,60
6004,92
6005,44
6006,72
6007,54
6008,47
6009,50
6010,50
6011,40
6012,95
6013,58
6014,84
6015,49
6016,27
6017,70
6018,70
6019,69
6020,75
6021,48
6022,78
6023,44
6024,55
6025,66
6026,72
6027,52
6028,31
6029,81
6030,70
6031,47
6032,48
6033,62
6034,62
6035,41
6036,69
6037,83
6038,65
6039,62
6040,45
6041,58
6042,76
6043,73
6044,65
6045,31
6046,77
6047,78
6048,50
6049,55
6050,37
6051,80
6052,80
6053,38
6054,51
6055,72
6056,54
6057,49
6058,55
6059,59
6060,68
6061,36
6062,60
6063,41
6064,74
6065,59
6066,63
6067,83
6068,70
6069,70
6070,60
6071,73
6072,67
6073,84
6074,68
6075,60
6076,76
6077,60
6078,57
6079,77
6080,63
6081,77
6082,28
6083,57
6084,58
6085,73
6086,30
6087,48
6088,57
6089,82
6090,71
6091,83
6092,29
6093,70
6094,66
6095,68
6096,62
6097,54
6098,75
6099,46
6100,52
6101,74
6102,69
6103,62
6104,65
6105,32
6106,62
6107,73
6108,54
6109,83
6110,74
6111,80
6112,49
6113,78
6114,72
6115,55
6116,95
6117,67
6118,70
6119,74
6120,74
6121,41
6122,65
6123,55
6124,64
6125,75
6126,34
6127,79
6128,71
6129,36
6130,48
6131,47
6132,62
6133,90
6134,56
6135,75
6136,75
6137,64
6138,47
6139,52
6140,63
6141,66
6142,70
6143,52
6144,74
6145,59
6146,44
6147,80
6148,78
6149,71
6150,78
6151,82
6152,48
6153,78
6154,60
6155,69
6156,50
6157,78
6158,80
6159,37
6160,30
6161,63
6162,68
6163,40
6164,43
6165,55
6166,77
6167,75
6168,66
6169,56
6170,70
6171,70
6172,69
6173,78
6174,62
6175,49
6176,67
6177,68
6178,54
6179,90
6180,87
6181,67
6182,69
6183,68
6184,49
6185,53
6186,66
6187,60
6188,84
6189,71
6190,74
6191,50
6192,43
6193,75
6194,72
6195,71
6196,58
6197,55
6198,77
6199,75
6200,43
6201,45
6202,79
6203,50
6204,80
6205,37
6206,39
6207,80
6208,68
6209,64
6210,32
6211,73
6212,68
6213,75
6214,62
6215,60
6216,58
6217,85
6218,62
6219,41
6220,64
6221,64
6222,64
6223,63
6224,51
6225,80
6226,78
6227,64
6228,62
6229,61
6230,51
6231,58
6232,91
6233,79
6234,55
6235,94
6236,29
6237,42
6238,65
6239,90
6240,56
6241,88
6242,82
6243,74
6244,75
6245,30
6246,68
6247,48
6248,86
6249,63
6250,59
6251,71
6252,77
6253,72
6254,64
6255,63
6256,73
6257,64
6258,72
6259,43
6260,64
6261,65
6262,62
6263,75
6264,87
6265,44
6266,68
6267,67
6268,70
6269,58
6270,68
6271,63
6272,79
6273,79
6274,81
6275,54
6276,64
6277,47
6278,87
6279,65
6280,79
6281,78
6282,32
6283,77
6284,72
6285,53
6286,50
6287,68
6288,58
6289,82
6290,85
6291,73
6292,87
6293,69
6294,61
6295,57
6296,83
6297,55
6298,71
6299,79
6300,77
6301,49
6302,79
6303,53
6304,71
6305,69
6306,57
6307,55
6308,55
6309,55
6310,82
6311,58
6312,87
6313,68
6314,82
6315,66
6316,64
6317,46
6318,73
6319,63
6320,58
6321,26
6322,65
6323,62
6324,62
6325,42
6326,76
6327,80
6328,90
6329,80
6330,55
6331,79
6332,80
6333,70
6334,48
6335,73
6336,44
6337,70
6338,63
6339,61
6340,73
6341,73
6342,86
6343,38
6344,46
6345,55
6346,73
6347,85
6348,73
6349,74
6350,80
6351,88
6352,88
6353,71
6354,48
6355,78
6356,58
6357,42
6358,60
6359,58
6360,68
6361,60
6362,52
6363,54
6364,61
6365,73
6366,42
6367,73
6368,44
6369,75
6370,54
6371,33
6372,56
6373,67
6374,88
6375,88
6376,60
6377,81
6378,73
6379,71
6380,77
6381,88
6382,63
6383,44
6384,42
6385,74
6386,65
6387,51
6388,40
6389,57
6390,34
6391,72
6392,58
6393,74
6394,51
6395,66
6396,65
6397,60
6398,82
6399,83
6400,80
6401,62
6402,79
6403,72
6404,76
6405,85
6406,72
6407,80
6408,59
6409,64
6410,80
6411,55
6412,68
6413,58
6414,53
6415,61
6416,75
6417,32
6418,74
6419,29
6420,75
6421,64
6422,44
6423,62
6424,58
6425,61
6426,61
6427,64
6428,51
6429,29
6430,70
6431,65
6432,80
6433,71
6434,70
6435,53
6436,56
6437,68
6438,35
6439,90
6440,43
6441,74
6442,65
6443,69
6444,74
6445,69
6446,59
6447,61
6448,45
6449,69
6450,74
6451,63
6452,39
6453,79
6454,64
6455,55
6456,74
6457,66
6458,52
6459,77
6460,68
6461,67
6462,54
6463,56
6464,71
6465,60
6466,37
6467,86
6468,58
6469,75
6470,75
6471,68
6472,83
6473,61
6474,59
6475,42
6476,45
6477,45
6478,70
6479,68
6480,66
6481,53
6482,67
6483,92
6484,58
6485,66
6486,79
6487,82
6488,78
6489,57
6490,61
6491,92
6492,64
6493,76
6494,59
6495,62
6496,84
6497,80
6498,74
6499,77
6500,65
6501,60
6502,83
6503,68
6504,55
6505,68
6506,68
6507,73
6508,47
6509,55
6510,59
6511,76
6512,70
6513,76
6514,74
6515,59
6516,92
6517,56
6518,69
6519,76
6520,78
6521,68
6522,74
6523,72
6524,53
6525,51
6526,90
6527,72
6528,72
6529,64
6530,65
6531,62
6532,43
6533,59
6534,59
6535,69
6536,48
6537,72
6538,83
6539,70
6540,71
6541,76
6542,41
6543,72
6544,78
6545,80
6546,29
6547,78
6548,78
6549,70
6550,85
6551,66
6552,53
6553,67
6554,66
6555,60
6556,36
6557,73
6558,70
6559,48
6560,73
6561,77
6562,66
6563,81
6564,72
6565,82
6566,33
6567,77
6568,70
6569,54
6570,75
6571,67
6572,38
6573,55
6574,43
6575,34
6576,62
6577,73
6578,35
6579,35
6580,34
6581,53
6582,85
6583,66
6584,55
6585,73
6586,49
6587,68
6588,48
6589,68
6590,70
6591,66
6592,83
6593,57
6594,72
6595,79
6596,42
6597,72
6598,61
6599,52
6600,78
6601,59
6602,75
6603,73
6604,40
6605,50
6606,72
6607,44
6608,80
6609,43
6610,59
6611,83
6612,64
6613,56
6614,85
6615,77
6616,58
6617,33
6618,53
6619,64
6620,83
6621,52
6622,51
6623,58
6624,79
6625,61
6626,82
6627,38
6628,61
6629,59
6630,59
6631,66
6632,75
6633,78
6634,84
6635,61
6636,80
6637,64
6638,73
6639,54
6640,62
6641,70
6642,58
6643,63
6644,42
6645,71
6646,92
6647,39
6648,33
6649,87
6650,89
6651,48
6652,67
6653,60
6654,65
6655,42
6656,41
6657,62
6658,38
6659,67
6660,88
6661,77
6662,65
6663,53
6664,70
6665,44
6666,69
6667,71
6668,30
6669,67
6670,66
6671,58
6672,66
6673,74
6674,78
6675,51
6676,66
6677,73
6678,73
6679,73
6680,72
6681,72
6682,63
6683,64
6684,58
6685,72
6686,62
6687,75
6688,74
6689,33
6690,78
6691,64
6692,75
6693,53
6694,74
6695,49
6696,71
6697,66
6698,79
6699,84
6700,62
6701,91
6702,34
6703,78
6704,52
6705,34
6706,71
6707,70
6708,48
6709,57
6710,48
6711,66
6712,72
6713,71
6714,64
6715,78
6716,73
6717,40
6718,77
6719,86
6720,65
6721,78
6722,55
6723,70
6724,62
6725,69
6726,79
6727,62
6728,32
6729,93
6730,20
6731,79
6732,79
6733,74
6734,48
6735,72
6736,82
6737,58
6738,75
6739,49
6740,74
6741,62
6742,53
6743,75
6744,89
6745,77
6746,72
6747,56
6748,45
6749,82
6750,87
6751,86
6752,70
6753,51
6754,56
6755,80
6756,59
6757,45
6758,63
6759,73
6760,64
6761,71
6762,74
6763,71
6764,76
6765,37
6766,73
6767,42
6768,76
6769,68
6770,40
6771,89
6772,69
6773,63
6774,70
6775,72
6776,89
6777,61
6778,80
6779,74
6780,34
6781,77
6782,83
6783,83
6784,85
6785,68
6786,63
6787,73
6788,91
6789,79
6790,65
6791,77
6792,62
6793,71
6794,75
6795,65
6796,67
6797,40
6798,80
6799,80
6800,33
6801,79
6802,72
6803,58
6804,32
6805,65
6806,30
6807,55
6808,94
6809,71
6810,85
6811,76
6812,55
6813,84
6814,34
6815,44
6816,70
6817,49
6818,64
6819,58
6820,48
6821,62
6822,54
6823,26
6824,62
6825,41
6826,71
6827,38
6828,61
6829,83
6830,52
6831,34
6832,82
6833,65
6834,65
6835,65
6836,71
6837,68
6838,36
6839,68
6840,68
6841,39
6842,47
6843,68
6844,69
6845,64
6846,88
6847,56
6848,56
6849,74
6850,56
6851,34
6852,78
6853,23
6854,80
6855,76
6856,32
6857,60
6858,32
6859,90
6860,58
6861,79
6862,52
6863,63
6864,60
6865,51
6866,76
6867,84
6868,64
6869,79
6870,46
6871,55
6872,67
6873,57
6874,90
6875,71
6876,83
6877,41
6878,65
6879,88
6880,48
6881,83
6882,70
6883,63
6884,80
6885,80
6886,86
6887,75
6888,61
6889,78
6890,45
6891,67
6892,58
6893,57
6894,64
6895,73
6896,66
6897,55
6898,60
6899,78
6900,83
6901,85
6902,48
6903,71
6904,63
6905,59
6906,40
6907,59
6908,73
6909,73
6910,71
6911,63
6912,76
6913,57
6914,84
6915,48
6916,75
6917,72
6918,74
6919,79
6920,86
6921,83
6922,41
6923,67
6924,90
6925,64
6926,57
6927,46
6928,66
6929,71
6930,74
6931,80
6932,61
6933,46
6934,48
6935,69
6936,69
6937,83
6938,60
6939,55
6940,73
6941,36
6942,59
6943,72
6944,56
6945,51
6946,66
6947,63
6948,33
6949,80
6950,57
6951,41
6952,68
6953,47
6954,63
6955,79
6956,67
6957,54
6958,73
6959,54
6960,50
6961,50
6962,65
6963,68
6964,63
6965,70
6966,55
6967,51
6968,75
6969,70
6970,68
6971,68
6972,76
6973,78
6974,74
6975,69
6976,71
6977,68
6978,32
6979,69
6980,70
6981,62
6982,76
6983,91
6984,58
6985,74
6986,82
6987,82
6988,70
6989,79
6990,68
6991,76
6992,71
6993,68
6994,71
6995,72
6996,52
6997,76
6998,72
6999,71
7000,74
7001,42
7002,69
7003,58
7004,70
7005,64
7006,40
7007,63
7008,83
7009,58
7010,43
7011,52
7012,77
7013,62
7014,66
7015,68
7016,63
7017,88
7018,51
7019,62
7020,40
7021,77
7022,82
7023,65
7024,35
7025,77
7026,64
7027,68
7028,60
7029,66
7030,64
7031,64
7032,71
7033,60
7034,70
7035,53
7036,34
7037,57
7038,57
7039,77
7040,52
7041,68
7042,69
7043,76
7044,64
7045,60
7046,77
7047,92
7048,58
7049,59
7050,93
7051,58
7052,66
7053,37
7054,83
7055,78
7056,68
7057,68
7058,59
7059,34
7060,51
7061,82
7062,67
7063,47
7064,72
7065,68
7066,50
7067,48
7068,65
7069,70
7070,41
7071,52
7072,62
7073,89
7074,62
7075,42
7076,83
7077,72
7078,70
7079,73
7080,72
7081,73
7082,65
7083,72
7084,88
7085,67
7086,52
7087,87
7088,67
7089,67
7090,54
7091,61
7092,52
7093,63
7094,69
7095,57
7096,74
7097,63
7098,60
7099,58
7100,82
7101,78
7102,76
7103,55
7104,71
7105,58
7106,75
7107,56
7108,48
7109,74
7110,63
7111,86
7112,91
7113,81
7114,65
7115,48
7116,75
7117,77
7118,61
7119,71
7120,56
7121,77
7122,67
7123,75
7124,65
7125,78
7126,75
7127,92
7128,33
7129,21
7130,81
7131,65
7132,65
7133,78
7134,62
7135,68
7136,65
7137,78
7138,78
7139,44
7140,44
7141,70
7142,66
7143,64
7144,64
7145,65
7146,55
7147,92
7148,62
7149,77
7150,67
7151,55
7152,33
7153,79
7154,68
7155,66
7156,41
7157,57
7158,75
7159,84
7160,56
7161,61
7162,73
7163,73
7164,82
7165,70
7166,57
7167,71
7168,83
7169,57
7170,44
7171,31
7172,62
7173,70
7174,63
7175,74
7176,68
7177,45
7178,66
7179,70
7180,60
7181,66
7182,66
7183,71
7184,68
7185,71
7186,60
7187,69
7188,76
7189,39
7190,70
7191,70
7192,61
7193,59
7194,62
7195,76
7196,77
7197,32
7198,58
7199,64
7200,75
7201,48
7202,69
7203,82
7204,58
7205,58
7206,68
7207,77
7208,68
7209,72
7210,65
7211,67
7212,61
7213,69
7214,51
7215,41
7216,58
7217,64
7218,84
7219,46
7220,59
7221,64
7222,67
7223,87
7224,50
7225,64
7226,84
7227,87
7228,56
7229,45
7230,77
7231,70
7232,77
7233,75
7234,76
7235,74
7236,73
7237,52
7238,81
7239,67
7240,83
7241,63
7242,63
7243,47
7244,64
7245,59
7246,74
7247,44
7248,58
7249,74
7250,69
7251,69
7252,84
7253,74
7254,85
7255,64
7256,82
7257,33
7258,73
7259,71
7260,65
7261,64
7262,72
7263,63
7264,71
7265,56
7266,77
7267,70
7268,54
7269,68
7270,56
7271,75
7272,63
7273,72
7274,71
7275,69
7276,74
7277,74
7278,71
7279,73
7280,41
7281,71
7282,46
7283,32
7284,50
7285,54
7286,74
7287,73
7288,81
7289,62
7290,59
7291,72
7292,61
7293,61
7294,72
7295,66
7296,64
7297,75
7298,90
7299,73
7300,82
7301,44
7302,67
7303,63
7304,46
7305,76
7306,69
7307,55
7308,74
7309,66
7310,62
7311,62
7312,48
7313,70
7314,78
7315,62
7316,58
7317,52
7318,59
7319,59
7320,81
7321,92
7322,67
7323,68
7324,57
7325,66
7326,81
7327,66
7328,72
7329,77
7330,58
7331,66
7332,70
7333,58
7334,70
7335,53
7336,55
7337,33
7338,52
7339,58
7340,30
7341,54
7342,45
7343,79
7344,79
7345,42
7346,81
7347,60
7348,63
7349,69
7350,44
7351,56
7352,73
7353,79
7354,43
7355,34
7356,62
7357,65
7358,48
7359,78
7360,48
7361,70
7362,68
7363,81
7364,65
7365,64
7366,61
7367,53
7368,72
7369,61
7370,68
7371,70
7372,66
7373,37
7374,62
7375,58
7376,73
7377,74
7378,60
7379,73
7380,50
7381,66
7382,66
7383,34
7384,80
7385,55
7386,71
7387,46
7388,39
7389,69
7390,40
7391,68
7392,60
7393,71
7394,70
7395,70
7396,68
7397,77
7398,74
7399,64
7400,65
7401,33
7402,44
7403,78
7404,76
7405,62
7406,71
7407,67
7408,66
7409,90
7410,70
7411,72
7412,35
7413,75
7414,87
7415,62
7416,85
7417,52
7418,79
7419,79
7420,94
7421,62
7422,59
7423,64
7424,58
7425,80
7426,79
7427,56
7428,82
7429,78
7430,70
7431,63
7432,91
7433,67
7434,81
7435,72
7436,85
7437,62
7438,62
7439,62
7440,70
7441,72
7442,85
7443,70
7444,56
7445,61
7446,61
7447,78
7448,70
7449,63
7450,84
7451,71
7452,76
7453,70
7454,67
7455,71
7456,47
7457,67
7458,46
7459,45
7460,67
7461,51
7462,71
7463,56
7464,62
7465,68
7466,59
7467,82
7468,65
7469,68
7470,74
7471,72
7472,53
7473,42
7474,88
7475,53
7476,41
7477,68
7478,86
7479,89
7480,60
7481,78
7482,30
7483,69
7484,64
7485,55
7486,70
7487,59
7488,72
7489,70
7490,52
7491,56
7492,70
7493,59
7494,77
7495,55
7496,73
7497,73
7498,74
7499,68
7500,67
7501,82
7502,67
7503,56
7504,55
7505,71
7506,84
7507,58
7508,72
7509,63
7510,62
7511,68
7512,52
7513,62
7514,73
7515,45
7516,63
7517,65
7518,82
7519,71
7520,61
7521,52
7522,59
7523,93
7524,65
7525,56
7526,37
7527,76
7528,81
7529,53
7530,71
7531,56
7532,76
7533,89
7534,43
7535,70
7536,67
7537,81
7538,68
7539,63
7540,56
7541,75
7542,65
7543,71
7544,59
7545,61
7546,70
7547,64
7548,64
7549,57
7550,67
7551,59
7552,84
7553,71
7554,49
7555,51
7556,42
7557,56
7558,64
7559,68
7560,85
7561,80
7562,52
7563,63
7564,49
7565,64
7566,66
7567,64
7568,65
7569,84
7570,63
7571,54
7572,65
7573,65
7574,68
7575,69
7576,57
7577,75
7578,83
7579,55
7580,46
7581,67
7582,67
7583,36
7584,77
7585,63
7586,53
7587,55
7588,89
7589,57
7590,54
7591,66
7592,65
7593,70
7594,88
7595,80
7596,74
7597,66
7598,67
7599,67
7600,69
7601,57
7602,71
7603,64
7604,67
7605,55
7606,79
7607,65
7608,70
7609,58
7610,65
7611,75
7612,77
7613,66
7614,68
7615,77
7616,62
7617,75
7618,75
7619,47
7620,52
7621,70
7622,61
7623,46
7624,68
7625,81
7626,82
7627,78
7628,59
7629,66
7630,82
7631,51
7632,34
7633,80
7634,54
7635,69
7636,66
7637,82
7638,61
7639,54
7640,76
7641,63
7642,58
7643,49
7644,79
7645,85
7646,58
7647,71
7648,59
7649,72
7650,72
7651,75
7652,58
7653,70
7654,69
7655,32
7656,42
7657,32
7658,40
7659,82
7660,78
7661,65
7662,57
7663,53
7664,57
7665,73
7666,88
7667,70
7668,70
7669,42
7670,54
7671,67
7672,72
7673,57
7674,46
7675,83
7676,57
7677,67
7678,63
7679,76
7680,35
7681,69
7682,78
7683,82
7684,28
7685,35
7686,74
7687,75
7688,62
7689,74
7690,60
7691,44
7692,65
7693,72
7694,28
7695,67
7696,67
7697,62
7698,47
7699,77
7700,54
7701,54
7702,82
7703,44
7704,91
7705,59
7706,72
7707,65
7708,73
7709,67
7710,44
7711,52
7712,58
7713,76
7714,55
7715,70
7716,69
7717,68
7718,37
7719,84
7720,68
7721,74
7722,73
7723,81
7724,70
7725,65
7726,52
7727,57
7728,36
7729,73
7730,82
7731,61
7732,45
7733,55
7734,74
7735,82
7736,45
7737,51
7738,37
7739,74
7740,57
7741,63
7742,68
7743,56
7744,53
7745,80
7746,63
7747,29
7748,75
7749,55
7750,87
7751,77
7752,77
7753,68
7754,61
7755,85
7756,30
7757,54
7758,65
7759,65
7760,66
7761,63
7762,70
7763,61
7764,85
7765,49
7766,52
7767,44
7768,61
7769,61
7770,73
7771,72
7772,62
7773,67
7774,57
7775,72
7776,48
7777,76
7778,91
7779,62
7780,56
7781,28
7782,67
7783,73
7784,70
7785,65
7786,75
7787,67
7788,49
7789,69
7790,55
7791,88
7792,52
7793,50
7794,55
7795,72
7796,72
7797,75
7798,67
7799,83
7800,68
7801,57
7802,58
7803,58
7804,32
7805,85
7806,85
7807,62
7808,41
7809,54
7810,72
7811,88
7812,79
7813,69
7814,62
7815,46
7816,79
7817,71
7818,60
7819,33
7820,60
7821,59
7822,54
7823,82
7824,71
7825,76
7826,68
7827,73
7828,68
7829,65
7830,52
7831,85
7832,52
7833,65
7834,77
7835,77
7836,85
7837,73
7838,33
7839,68
7840,59
7841,41
7842,62
7843,70
7844,67
7845,52
7846,57
7847,43
7848,68
7849,82
7850,75
7851,55
7852,86
7853,65
7854,65
7855,52
7856,69
7857,69
7858,66
7859,58
7860,68
7861,71
7862,64
7863,61
7864,38
7865,50
7866,56
7867,59
7868,68
7869,50
7870,82
7871,75
7872,71
7873,68
7874,62
7875,56
7876,45
7877,65
7878,65
7879,55
7880,80
7881,59
7882,33
7883,73
7884,72
7885,65
7886,59
7887,84
7888,62
7889,65
7890,59
7891,59
7892,77
7893,70
7894,58
7895,67
7896,67
7897,54
7898,71
7899,74
7900,77
7901,70
7902,69
7903,70
7904,91
7905,91
7906,79
7907,78
7908,58
7909,65
7910,46
7911,54
7912,70
7913,77
7914,60
7915,90
7916,63
7917,66
7918,71
7919,71
7920,70
7921,60
7922,63
7923,53
7924,61
7925,56
7926,78
7927,78
7928,76
7929,80
7930,64
7931,41
7932,59
7933,86
7934,63
7935,54
7936,63
7937,58
7938,73
7939,72
7940,40
7941,52
7942,60
7943,59
7944,69
7945,73
7946,67
7947,43
7948,67
7949,54
7950,72
7951,71
7952,55
7953,59
7954,34
7955,64
7956,64
7957,61
7958,74
7959,49
7960,73
7961,77
7962,72
7963,64
7964,74
7965,75
7966,40
7967,78
7968,34
7969,75
7970,76
7971,69
7972,46
7973,57
7974,31
7975,50
7976,57
7977,66
7978,75
7979,47
7980,55
7981,80
7982,65
7983,59
7984,68
7985,64
7986,65
7987,59
7988,50
7989,66
7990,87
7991,40
7992,58
7993,77
7994,71
7995,85
7996,64
7997,73
7998,50
7999,60
8000,72
8001,76
8002,49
8003,51
8004,72
8005,80
8006,67
8007,67
8008,66
8009,31
8010,62
8011,39
8012,78
8013,72
8014,52
8015,45
8016,55
8017,64
8018,60
8019,63
8020,67
8021,83
8022,68
8023,93
8024,44
8025,62
8026,74
8027,57
8028,79
8029,71
8030,60
8031,80
8032,83
8033,74
8034,73
8035,74
8036,57
8037,52
8038,45
8039,52
8040,73
8041,65
8042,65
8043,40
8044,38
8045,68
8046,49
8047,57
8048,62
8049,62
8050,60
8051,73
8052,21
8053,52
8054,66
8055,57
8056,71
8057,71
8058,71
8059,73
8060,71
8061,73
8062,46
8063,49
8064,63
8065,30
8066,79
8067,65
8068,74
8069,78
8070,40
8071,49
8072,76
8073,76
8074,56
8075,63
8076,71
8077,66
8078,66
8079,49
8080,75
8081,79
8082,64
8083,55
8084,73
8085,61
8086,71
8087,75
8088,40
8089,36
8090,55
8091,82
8092,59
8093,59
8094,60
8095,88
8096,79
8097,72
8098,74
8099,82
8100,73
8101,62
8102,68
8103,72
8104,40
8105,62
8106,67
8107,73
8108,73
8109,73
8110,68
8111,48
8112,76
8113,75
8114,79
8115,52
8116,56
8117,68
8118,63
8119,80
8120,68
8121,64
8122,33
8123,71
8124,84
8125,70
8126,69
8127,36
8128,66
8129,56
8130,85
8131,61
8132,58
8133,59
8134,69
8135,73
8136,81
8137,94
8138,73
8139,64
8140,69
8141,67
8142,73
8143,60
8144,56
8145,60
8146,47
8147,76
8148,80
8149,74
8150,80
8151,34
8152,52
8153,61
8154,35
8155,53
8156,80
8157,69
8158,72
8159,39
8160,39
8161,75
8162,54
8163,75
8164,65
8165,72
8166,72
8167,82
8168,70
8169,34
8170,77
8171,57
8172,74
8173,46
8174,61
8175,47
8176,84
8177,74
8178,67
8179,66
8180,67
8181,62
8182,61
8183,32
8184,39
8185,66
8186,74
8187,62
8188,74
8189,68
8190,72
8191,66
8192,77
8193,72
8194,79
8195,43
8196,69
8197,51
8198,68
8199,72
8200,68
8201,70
8202,73
8203,64
8204,74
8205,66
8206,74
8207,89
8208,65
8209,68
8210,69
8211,69
8212,77
8213,31
8214,59
8215,55
8216,41
8217,40
8218,57
8219,38
8220,57
8221,65
8222,67
8223,54
8224,73
8225,72
8226,68
8227,61
8228,60
8229,68
8230,85
8231,21
8232,34
8233,63
8234,71
8235,61
8236,45
8237,63
8238,75
8239,73
8240,69
8241,61
8242,79
8243,53
8244,42
8245,76
8246,55
8247,67
8248,83
8249,56
8250,47
8251,72
8252,68
8253,64
8254,70
8255,46
8256,73
8257,74
8258,60
8259,81
8260,83
8261,75
8262,75
8263,44
8264,56
8265,67
8266,71
8267,45
8268,70
8269,47
8270,60
8271,72
8272,65
8273,44
8274,42
8275,68
8276,54
8277,56
8278,58
8279,71
8280,41
8281,67
8282,70
8283,74
8284,75
8285,68
8286,71
8287,30
8288,77
8289,39
8290,68
8291,45
8292,80
8293,48
8294,73
8295,25
8296,77
8297,54
8298,49
8299,77
8300,55
8301,75
8302,70
8303,59
8304,52
8305,71
8306,70
8307,82
8308,68
8309,41
8310,60
8311,47
8312,58
8313,58
8314,42
8315,62
8316,48
8317,67
8318,65
8319,65
8320,75
8321,73
8322,67
8323,71
8324,65
8325,79
8326,70
8327,75
8328,61
8329,71
8330,71
8331,57
8332,86
8333,68
8334,56
8335,53
8336,81
8337,75
8338,67
8339,63
8340,57
8341,40
8342,79
8343,65
8344,67
8345,77
8346,75
8347,52
8348,44
8349,59
8350,72
8351,49
8352,74
8353,55
8354,32
8355,58
8356,89
8357,64
8358,49
8359,53
8360,72
8361,41
8362,81
8363,67
8364,67
8365,61
8366,73
8367,57
8368,60
8369,88
8370,77
8371,74
8372,60
8373,58
8374,57
8375,34
8376,65
8377,57
8378,68
8379,76
8380,61
8381,62
8382,70
8383,67
8384,35
8385,34
8386,67
8387,74
8388,55
8389,54
8390,74
8391,92
8392,66
8393,81
8394,75
8395,67
8396,86
8397,69
8398,68
8399,64
8400,59
8401,75
8402,40
8403,80
8404,44
8405,81
8406,65
8407,67
8408,69
8409,44
8410,52
8411,65
8412,63
8413,68
8414,71
8415,71
8416,45
8417,72
8418,75
8419,77
8420,64
8421,74
8422,75
8423,51
8424,46
8425,74
8426,71
8427,68
8428,61
8429,75
8430,73
8431,46
8432,82
8433,74
8434,92
8435,68
8436,79
8437,70
8438,70
8439,60
8440,68
8441,55
8442,77
8443,64
8444,67
8445,68
8446,64
8447,64
8448,58
8449,67
8450,72
8451,50
8452,65
8453,56
8454,80
8455,77
8456,76
8457,65
8458,73
8459,81
8460,80
8461,78
8462,69
8463,91
8464,92
8465,71
8466,71
8467,79
8468,80
8469,68
8470,51
8471,74
8472,62
8473,72
8474,65
8475,82
8476,58
8477,57
8478,63
8479,78
8480,91
8481,56
8482,43
8483,76
8484,74
8485,68
8486,37
8487,87
8488,53
8489,80
8490,57
8491,71
8492,65
8493,70
8494,71
8495,61
8496,85
8497,60
8498,33
8499,56
8500,79
8501,71
8502,58
8503,62
8504,59
8505,39
8506,78
8507,36
8508,56
8509,50
8510,65
8511,70
8512,88
8513,81
8514,75
8515,65
8516,62
8517,62
8518,62
8519,25
8520,65
8521,73
8522,65
8523,43
8524,67
8525,82
8526,71
8527,78
8528,75
8529,77
8530,61
8531,53
8532,78
8533,42
8534,75
8535,61
8536,63
8537,85
8538,83
8539,59
8540,72
8541,59
8542,74
8543,77
8544,64
8545,63
8546,75
8547,66
8548,88
8549,66
8550,59
8551,67
8552,73
8553,69
8554,57
8555,77
8556,44
8557,73
8558,59
8559,55
8560,72
8561,64
8562,83
8563,65
8564,49
8565,64
8566,74
8567,64
8568,64
8569,64
8570,86
8571,74
8572,48
8573,59
8574,51
8575,59
8576,78
8577,60
8578,34
8579,72
8580,71
8581,85
8582,63
8583,76
8584,70
8585,78
8586,43
8587,49
8588,50
8589,50
8590,77
8591,78
8592,46
8593,80
8594,58
8595,76
